osmid,y,x,street_count,ref,highway,geometry
209493344,45.5396713,-73.5702141,3,,,POINT (-73.5702141 45.5396713)
209493393,45.5324372,-73.5531484,4,,,POINT (-73.5531484 45.5324372)
209507952,45.5329994,-73.5526519,4,,,POINT (-73.5526519 45.5329994)
209507991,45.5395968,-73.5483289,2,,,POINT (-73.5483289 45.5395968)
209507995,45.5376324,-73.5494857,2,,,POINT (-73.5494857 45.5376324)
209508155,45.5261297,-73.5531631,3,,,POINT (-73.5531631 45.5261297)
209508169,45.5252526,-73.5562277,3,,,POINT (-73.5562277 45.5252526)
209508176,45.5247103,-73.5563813,3,,,POINT (-73.5563813 45.5247103)
209508183,45.5243002,-73.5560628,3,,,POINT (-73.5560628 45.5243002)
209508253,45.5256865,-73.554461,3,,,POINT (-73.554461 45.5256865)
212659205,45.4875612,-73.5595132,3,534,,POINT (-73.5595132 45.4875612)
213301450,45.4917843,-73.5888133,3,,,POINT (-73.5888133 45.4917843)
213369716,45.4752009,-73.61423,1,,,POINT (-73.61423 45.4752009)
213403973,45.4791607,-73.6195646,3,,,POINT (-73.6195646 45.4791607)
213432489,45.4953701,-73.5961299,3,294,,POINT (-73.5961299 45.4953701)
213432652,45.4806147,-73.6229175,4,,,POINT (-73.6229175 45.4806147)
213573273,45.4861883,-73.6342223,3,,,POINT (-73.6342223 45.4861883)
213759681,45.5652567,-73.5543568,4,,,POINT (-73.5543568 45.5652567)
213759684,45.5653846,-73.5542821,4,,,POINT (-73.5542821 45.5653846)
213759730,45.5547044,-73.5546695,4,,,POINT (-73.5546695 45.5547044)
213759734,45.5545693,-73.5546902,4,,,POINT (-73.5546902 45.5545693)
213759739,45.5545003,-73.5544828,4,,,POINT (-73.5544828 45.5545003)
213759792,45.557116,-73.5627035,4,,,POINT (-73.5627035 45.557116)
213759796,45.557155,-73.562826,4,,,POINT (-73.562826 45.557155)
213759835,45.5459466,-73.5560264,3,,,POINT (-73.5560264 45.5459466)
213760144,45.5495504,-73.568335,5,,,POINT (-73.568335 45.5495504)
213792430,45.5608226,-73.5736983,4,,,POINT (-73.5736983 45.5608226)
213792442,45.5606828,-73.5738296,4,,,POINT (-73.5738296 45.5606828)
213792446,45.5607205,-73.5739532,4,,,POINT (-73.5739532 45.5607205)
213839132,45.5532677,-73.5804591,4,,,POINT (-73.5804591 45.5532677)
213839182,45.5691753,-73.5662377,4,,,POINT (-73.5662377 45.5691753)
213839214,45.5692269,-73.5663564,4,,,POINT (-73.5663564 45.5692269)
213839400,45.5694608,-73.5668427,3,,,POINT (-73.5668427 45.5694608)
213839404,45.56931,-73.5662826,4,,,POINT (-73.5662826 45.56931)
213839407,45.5692685,-73.5661525,4,,,POINT (-73.5661525 45.5692685)
213870599,45.5465017,-73.5862497,4,,,POINT (-73.5862497 45.5465017)
213883249,45.5349069,-73.5949813,3,,,POINT (-73.5949813 45.5349069)
213943474,45.5340701,-73.6188618,4,,,POINT (-73.6188618 45.5340701)
213948509,45.5389533,-73.6312429,4,,,POINT (-73.6312429 45.5389533)
213962616,45.5406818,-73.6131499,3,,,POINT (-73.6131499 45.5406818)
213966567,45.5279274,-73.6151167,2,,,POINT (-73.6151167 45.5279274)
213972392,45.527815,-73.6067366,2,,,POINT (-73.6067366 45.527815)
215084065,45.4986579,-73.6597316,3,,,POINT (-73.6597316 45.4986579)
215124574,45.5487456,-73.6236346,3,,,POINT (-73.6236346 45.5487456)
215135344,45.5544934,-73.6228204,4,267,,POINT (-73.6228204 45.5544934)
215135366,45.5539824,-73.621814,4,308,,POINT (-73.621814 45.5539824)
215207683,45.5413,-73.6415309,3,,crossing,POINT (-73.6415309 45.5413)
215207833,45.5502053,-73.6294157,4,,,POINT (-73.6294157 45.5502053)
215208280,45.5493474,-73.6325787,3,,motorway_junction,POINT (-73.6325787 45.5493474)
215220935,45.5278182,-73.6537849,2,,,POINT (-73.6537849 45.5278182)
215239838,45.5275854,-73.6379199,3,,,POINT (-73.6379199 45.5275854)
215622744,45.5734961,-73.5488769,4,,,POINT (-73.5488769 45.5734961)
215622747,45.5734347,-73.549095,4,,,POINT (-73.549095 45.5734347)
