osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,tunnel,bridge,access
4886378,4,Avenue des Pins Ouest,secondary,,False,False,59.76500000000001,"LINESTRING (-73.5798583 45.5087139, -73.5800695 45.5083019, -73.580085 45.5082717, -73.580112 45.5082068)",,,,
"[453989308, 4886375]",2,Avenue des Pins Ouest,secondary,40,True,False,212.104,"LINESTRING (-73.5798583 45.5087139, -73.5797762 45.508768, -73.5796751 45.5089534, -73.5795114 45.5092341, -73.5795038 45.5092472, -73.57949 45.5092693, -73.5794635 45.5093042, -73.5794216 45.5093597, -73.5793886 45.5094041, -73.5789473 45.5098806, -73.5787508 45.5101151, -73.578675 45.5102808, -73.5786352 45.5103997)",,,,
"[453989312, 453989313, 453989311]",4,Avenue des Pins Ouest,secondary,,False,True,106.864,"LINESTRING (-73.5804879 45.5072827, -73.5804433 45.5073927, -73.5803399 45.5076425, -73.5802984 45.5077567, -73.5801506 45.5081233, -73.5801431 45.5081419, -73.580112 45.5082068)",,,,
1167581067,2,Avenue des Pins Ouest,secondary,,True,False,51.301,"LINESTRING (-73.5804879 45.5072827, -73.5805395 45.507141, -73.5806409 45.506834)",,,,
"[263213889, 133806978, 92352683]",,Avenue du Docteur-Penfield,secondary,50,True,False,436.7190000000001,"LINESTRING (-73.5794938 45.503348, -73.5794385 45.5033823, -73.5789511 45.5036853, -73.5788699 45.5037425, -73.5787771 45.5038207, -73.5786964 45.5039053, -73.5786418 45.5039775, -73.5786194 45.5040193, -73.5785955 45.5040636, -73.5785686 45.5041108, -73.5784958 45.5043022, -73.5784572 45.5045288, -73.5784445 45.5047604, -73.5784765 45.5053002, -73.5785094 45.5058012, -73.5785341 45.5060151, -73.5785865 45.5061173, -73.5786518 45.5062029, -73.5786865 45.5062496, -73.5787483 45.5063055, -73.5788311 45.5063546, -73.5789744 45.5064245, -73.5795371 45.5066775)",,,,
263213891,2,Rue Peel,secondary,30,False,False,233.21300000000002,"LINESTRING (-73.5794938 45.503348, -73.5795678 45.5033816, -73.5796198 45.5034052, -73.5797309 45.5034557, -73.5802881 45.5037325, -73.5809981 45.5040792, -73.5810549 45.5041069, -73.5818613 45.5045027, -73.5818895 45.5045149, -73.5819531 45.5045425)",,,,
"[37723610, 455083998]",2,Rue Peel,secondary,30,False,True,283.42499999999995,"LINESTRING (-73.5794938 45.503348, -73.579426 45.5033128, -73.5793925 45.5032958, -73.5792501 45.5032285, -73.5789535 45.503081, -73.5780867 45.5026595, -73.5771772 45.5022057, -73.5766936 45.501933, -73.5766496 45.5019099, -73.5765662 45.5018414)",,,,
"[41258632, 465586024, 465586406, 41258631]","['6', '2']",Rue Sherbrooke Ouest,primary,50,False,True,320.503,"LINESTRING (-73.570041 45.5111082, -73.5700585 45.5110689, -73.5700723 45.5110379, -73.5700841 45.511009, -73.5702295 45.5106659, -73.5703231 45.5104452, -73.570548 45.5099404, -73.5707687 45.5094177, -73.5707777 45.5093946, -73.570808 45.5093158, -73.5708377 45.5092469, -73.5708455 45.5092257, -73.5710342 45.5088182, -73.5712217 45.5084541, -73.571235 45.5084324, -73.5712782 45.5083605)",138,,,
"[1280928424, 48921991]",2,Rue Saint-Urbain,secondary,40,True,False,241.62900000000002,"LINESTRING (-73.570041 45.5111082, -73.5699233 45.5110449, -73.5688871 45.5105673, -73.5686006 45.5104364, -73.5679281 45.51012, -73.5675611 45.5099603, -73.5675253 45.5099447, -73.5674456 45.5099219)",,,,
219132791,2,Rue Peel,primary,30,False,False,180.96599999999998,"LINESTRING (-73.5746996 45.500885, -73.5747972 45.5009261, -73.5748301 45.5009422, -73.5759185 45.5014758, -73.5760159 45.5015255, -73.5764427 45.5017354, -73.5764594 45.5017429, -73.5764909 45.5017606, -73.5765662 45.5018414)",112,,,
"[36672937, 308658929, 1317462061, 1047732847]",1,Rue Peel,primary,30,True,False,338.95400000000006,"LINESTRING (-73.566804 45.4968912, -73.5669288 45.4969838, -73.5669474 45.4969975, -73.5678394 45.4974413, -73.5685361 45.4977661, -73.568562 45.4977791, -73.5686421 45.4978196, -73.5686997 45.4978487, -73.5690024 45.4980013, -73.5696003 45.4982841, -73.5698974 45.4984313, -73.5700078 45.498503, -73.5701612 45.4986087, -73.5702126 45.4986418, -73.5702385 45.49872)",112,,,
354710422,4,Rue Peel,primary,30,False,True,136.355,"LINESTRING (-73.566804 45.4968912, -73.5666802 45.4968266, -73.5666197 45.4967959, -73.5665637 45.4967681, -73.5663181 45.4966461, -73.5659347 45.4964624, -73.5654948 45.4962561, -73.5654779 45.4962481, -73.5653643 45.4961948)",112,,,
"[450956616, 1317462048]",3,Rue Saint-Antoine Ouest,secondary,50,True,False,106.70700000000001,"LINESTRING (-73.566804 45.4968912, -73.5668915 45.4968575, -73.5669549 45.4968335, -73.5669859 45.4968205, -73.5673337 45.4965387, -73.5674699 45.4964304, -73.5676926 45.4962516, -73.5677481 45.4962066)",,,,
"[465653666, 1317462063]","['5', '4']",Rue Saint-Antoine Ouest,secondary,50,False,True,92.84200000000001,"LINESTRING (-73.566804 45.4968912, -73.5667449 45.4969408, -73.5667084 45.4969711, -73.5666693 45.4970028, -73.5663989 45.4972214, -73.5662439 45.4973463, -73.5662115 45.497372, -73.5661164 45.4974468, -73.5660915 45.497466, -73.5660211 45.4975204)",,,,
"[465653666, 1317462063]","['5', '4']",Rue Saint-Antoine Ouest,secondary,50,False,False,92.84199999999998,"LINESTRING (-73.5660211 45.4975204, -73.5660915 45.497466, -73.5661164 45.4974468, -73.5662115 45.497372, -73.5662439 45.4973463, -73.5663989 45.4972214, -73.5666693 45.4970028, -73.5667084 45.4969711, -73.5667449 45.4969408, -73.566804 45.4968912)",,,,
465653989,1,Rue de la Cathédrale,secondary,30,True,False,124.14,"LINESTRING (-73.5660211 45.4975204, -73.5659002 45.4974618, -73.5648424 45.4969492, -73.5648064 45.4969316, -73.5647074 45.4968894)",,,,
"[1317462044, 1317462045, 465653670, 465653669]","['5', '6']",Rue Saint-Antoine Ouest,secondary,50,False,True,104.271,"LINESTRING (-73.5660211 45.4975204, -73.5659545 45.4975749, -73.5659312 45.4975939, -73.5656915 45.4977864, -73.56556 45.4978936, -73.5655036 45.4979396, -73.5652466 45.4981491, -73.5652245 45.4981664, -73.5651489 45.4982314)",,,,
